A,k,func_values
2.1e-06,1256.6371,9958.823
2.1e-06,1413.7167,9977.272
2.1e-06,1570.7964,9997.417
2.1e-06,1727.8761,10013.909
2.1e-06,1884.9557,10021.609
2.1e-06,2042.0353,10019.429
2.1e-06,2199.115,10010.822
2.1e-06,2356.1946,9998.87
2.1e-06,2513.2742,9993.012
2.2e-06,157.07964,10110.011
2.2e-06,314.15927,10079.007
2.2e-06,471.23892,10036.542
2.2e-06,628.31854,9985.992
2.2e-06,785.3982,9954.19
2.2e-06,942.47784,9943.09
2.2e-06,1099.5575,9945.23
2.2e-06,1256.6371,9956.984
2.2e-06,1413.7167,9975.83
2.2e-06,1570.7964,9996.552
2.2e-06,1727.8761,10014.319
2.2e-06,1884.9557,10022.4375
2.2e-06,2042.0353,10020.715
2.2e-06,2199.115,10011.867
2.2e-06,2356.1946,10001.348
2.2e-06,2513.2742,9992.613
2.3e-06,157.07964,10115.563
2.3e-06,314.15927,10083.063
2.3e-06,471.23892,10039.261
2.3e-06,628.31854,9986.808
2.3e-06,785.3982,9951.505
2.3e-06,942.47784,9940.448
2.3e-06,1099.5575,9942.177
2.3e-06,1256.6371,9955.011
2.3e-06,1413.7167,9974.312
2.3e-06,1570.7964,9996.191
2.3e-06,1727.8761,10015.115
2.3e-06,1884.9557,10023.358
2.3e-06,2042.0353,10021.808
2.3e-06,2199.115,10013.228
2.3e-06,2356.1946,10002.492
2.3e-06,2513.2742,9993.558
2.4e-06,157.07964,10120.576
2.4e-06,314.15927,10085.958
2.4e-06,471.23892,10041.28
2.4e-06,628.31854,9987.987
2.4e-06,785.3982,9949.7705
2.4e-06,942.47784,9937.533
2.4e-06,1099.5575,9938.669
2.4e-06,1256.6371,9952.969
2.4e-06,1413.7167,9973.123
2.4e-06,1570.7964,9996.064
2.4e-06,1727.8761,10015.843
2.4e-06,1884.9557,10024.237
2.4e-06,2042.0353,10022.765
2.4e-06,2199.115,10014.566
2.4e-06,2356.1946,10002.667
2.4e-06,2513.2742,9994.499
2.5e-06,157.07964,10125.507
2.5e-06,314.15927,10089.678
2.5e-06,471.23892,10042.995
2.5e-06,628.31854,9989.809
2.5e-06,785.3982,9948.083
2.5e-06,942.47784,9934.818
2.5e-06,1099.5575,9935.914
2.5e-06,1256.6371,9951.198
2.5e-06,1413.7167,9972.308
2.5e-06,1570.7964,9996.246
2.5e-06,1727.8761,10016.619
2.5e-06,1884.9557,10025.277
2.5e-06,2042.0353,10023.752
2.5e-06,2199.115,10015.298
2.5e-06,2356.1946,10003.019
2.5e-06,2513.2742,9994.675
2.6e-06,157.07964,10130.591
2.6e-06,314.15927,10093.886
2.6e-06,471.23892,10045.003
2.6e-06,628.31854,9991.17
2.6e-06,785.3982,9946.53
2.6e-06,942.47784,9931.679
2.6e-06,1099.5575,9932.972
2.6e-06,1256.6371,9949.3545
2.6e-06,1413.7167,9971.439
2.6e-06,1570.7964,9996.398
2.6e-06,1727.8761,10017.199
2.6e-06,1884.9557,10026.354
2.6e-06,2042.0353,10024.649
2.6e-06,2199.115,10015.843
2.6e-06,2356.1946,10003.578
2.6e-06,2513.2742,9994.5
2.6999999e-06,157.07964,10136.21
2.6999999e-06,314.15927,10097.2295
2.6999999e-06,471.23892,10046.726
2.6999999e-06,628.31854,9990.981
2.6999999e-06,785.3982,9945.1
2.6999999e-06,942.47784,9928.33
2.6999999e-06,1099.5575,9929.96
2.6999999e-06,1256.6371,9947.503
2.6999999e-06,1413.7167,9970.616
2.6999999e-06,1570.7964,9996.325
2.6999999e-06,1727.8761,10017.958
2.6999999e-06,1884.9557,10027.5
2.6999999e-06,2042.0353,10025.735
2.6999999e-06,2199.115,10016.46
2.6999999e-06,2356.1946,10004.239
2.6999999e-06,2513.2742,9994.082
2.8e-06,157.07964,10140.627
2.8e-06,314.15927,10100.28
2.8e-06,471.23892,10048.784
2.8e-06,628.31854,9991.433
2.8e-06,785.3982,9943.776
2.8e-06,942.47784,9925.382
2.8e-06,1099.5575,9929.355
