A,k,func_values
0.00025,942.47784,5198.064
0.00025,1099.5575,5360.2163
0.00025,1256.6371,6725.5835
0.00025,1413.7167,8919.862
0.00025,1570.7964,11283.805
0.00025,1727.8761,13032.267
0.00025,1884.9557,13643.169
0.00025,2042.0353,13136.51
0.00025,2199.115,11979.929
0.00025,2356.1946,10749.339
0.00025,2513.2742,9843.373
0.00026000003,157.07964,29898.723
0.00026000003,314.15927,23503.31
0.00026000003,471.23892,16097.25
0.00026000003,628.31854,10082.553
0.00026000003,785.3982,6480.595
0.00026000003,942.47784,5050.9185
0.00026000003,1099.5575,5224.717
0.00026000003,1256.6371,6636.328
0.00026000003,1413.7167,8904.233
0.00026000003,1570.7964,11360.644
0.00026000003,1727.8761,13178.983
0.00026000003,1884.9557,13811.481
0.00026000003,2042.0353,13277.461
0.00026000003,2199.115,12065.843
0.00026000003,2356.1946,10781.578
0.00026000003,2513.2742,9838.471
0.00027,157.07964,30916.87
0.00027,314.15927,24155.344
0.00027,471.23892,16373.479
0.00027,628.31854,10088.542
0.00027,785.3982,6365.644
0.00027,942.47784,4909.1226
0.00027,1099.5575,5096.389
0.00027,1256.6371,6547.9907
0.00027,1413.7167,8888.619
0.00027,1570.7964,11439.153
0.00027,1727.8761,13327.88
0.00027,1884.9557,13982.372
0.00027,2042.0353,13419.7705
0.00027,2199.115,12152.7295
0.00027,2356.1946,10813.362
0.00027,2513.2742,9834.312
0.00028,157.07964,31953.135
0.00028,314.15927,24832.51
0.00028,471.23892,16659.385
0.00028,628.31854,10095.032
0.00028,785.3982,6252.3193
0.00028,942.47784,4769.5894
0.00028,1099.5575,4970.9346
0.00028,1256.6371,6465.4067
0.00028,1413.7167,8880.669
0.00028,1570.7964,11518.691
0.00028,1727.8761,13478.838
0.00028,1884.9557,14153.643
0.00028,2042.0353,13564.026
0.00028,2199.115,12240.323
0.00028,2356.1946,10845.763
0.00028,2513.2742,9829.838
0.00029000003,157.07964,32976.24
0.00029000003,314.15927,25498.768
0.00029000003,471.23892,16935.537
0.00029000003,628.31854,10102.733
0.00029000003,785.3982,6140.6836
0.00029000003,942.47784,4634.3926
0.00029000003,1099.5575,4848.9487
0.00029000003,1256.6371,6385.6294
0.00029000003,1413.7167,8872.706
0.00029000003,1570.7964,11600.612
0.00029000003,1727.8761,13630.651
0.00029000003,1884.9557,14327.463
0.00029000003,2042.0353,13708.753
0.00029000003,2199.115,12328.248
0.00029000003,2356.1946,10878.3545
0.00029000003,2513.2742,9824.362
0.0003,157.07964,34051.83
0.0003,314.15927,26196.162
0.0003,471.23892,17217.287
0.0003,628.31854,10108.917
0.0003,785.3982,6030.23
0.0003,942.47784,4503.6196
0.0003,1099.5575,4731.9023
0.0003,1256.6371,6305.937
0.0003,1413.7167,8865.905
0.0003,1570.7964,11682.007
0.0003,1727.8761,13785.648
0.0003,1884.9557,14503.914
0.0003,2042.0353,13854.156
0.0003,2199.115,12416.794
0.0003,2356.1946,10910.7705
0.0003,2513.2742,9819.136
0.00031000003,157.07964,35120.48
0.00031000003,314.15927,26879.01
0.00031000003,471.23892,17499.383
0.00031000003,628.31854,10117.169
0.00031000003,785.3982,5920.7275
0.00031000003,942.47784,4374.039
0.00031000003,1099.5575,4620.054
0.00031000003,1256.6371,6232.406
0.00031000003,1413.7167,8862.345
0.00031000003,1570.7964,11770.722
0.00031000003,1727.8761,13941.336
0.00031000003,1884.9557,14679.867
0.00031000003,2042.0353,14001.447
0.00031000003,2199.115,12505.565
0.00031000003,2356.1946,10943.471
0.00031000003,2513.2742,9814.947
0.00032,157.07964,36199.73
0.00032,314.15927,27583.959
0.00032,471.23892,17777.465
0.00032,628.31854,10123.993
0.00032,785.3982,5812.99
0.00032,942.47784,4248.519
0.00032,1099.5575,4508.101
0.00032,1256.6371,6159.5054
0.00032,1413.7167,8859.933
0.00032,1570.7964,11857.101
0.00032,1727.8761,14097.5205
