A,k,func_values
3.9999998,1413.7167,232286510.0
3.9999998,1570.7964,148912080.0
3.9999998,1727.8761,115223064.0
3.9999998,1884.9557,85613840.0
3.9999998,2042.0353,98547550.0
3.9999998,2199.115,83485210.0
3.9999998,2356.1946,51192020.0
3.9999998,2513.2742,32875214.0
4.1,157.07964,2734534400.0
4.1,314.15927,1780123600.0
4.1,471.23892,1252192900.0
4.1,628.31854,1355122000.0
4.1,785.3982,1497138400.0
4.1,942.47784,829571000.0
4.1,1099.5575,383824030.0
4.1,1256.6371,262253600.0
4.1,1413.7167,236459260.0
4.1,1570.7964,151508900.0
4.1,1727.8761,114290730.0
4.1,1884.9557,87033190.0
4.1,2042.0353,100030456.0
4.1,2199.115,85664664.0
4.1,2356.1946,51866988.0
4.1,2513.2742,33442400.0
4.2,157.07964,2931746600.0
4.2,314.15927,1873930600.0
4.2,471.23892,1265349600.0
4.2,628.31854,1357527900.0
4.2,785.3982,1535520400.0
4.2,942.47784,848693760.0
4.2,1099.5575,389419870.0
4.2,1256.6371,266629100.0
4.2,1413.7167,238638580.0
4.2,1570.7964,155227060.0
4.2,1727.8761,117568790.0
4.2,1884.9557,88594510.0
4.2,2042.0353,101639120.0
4.2,2199.115,86900790.0
4.2,2356.1946,52517556.0
4.2,2513.2742,34247936.0
4.2999997,157.07964,3181850600.0
4.2999997,314.15927,1917215000.0
4.2999997,471.23892,1284702600.0
4.2999997,628.31854,1360364800.0
4.2999997,785.3982,1548573600.0
4.2999997,942.47784,862777540.0
4.2999997,1099.5575,395119680.0
4.2999997,1256.6371,271642620.0
4.2999997,1413.7167,242138190.0
4.2999997,1570.7964,158941360.0
4.2999997,1727.8761,117827224.0
4.2999997,1884.9557,90179790.0
4.2999997,2042.0353,103326024.0
4.2999997,2199.115,87292730.0
4.2999997,2356.1946,53188770.0
4.2999997,2513.2742,34746004.0
4.3999996,157.07964,3446065200.0
4.3999996,314.15927,2045816400.0
4.3999996,471.23892,1310893000.0
4.3999996,628.31854,1364534100.0
4.3999996,785.3982,1571926100.0
4.3999996,942.47784,879942140.0
4.3999996,1099.5575,401165660.0
4.3999996,1256.6371,273962850.0
4.3999996,1413.7167,243466540.0
4.3999996,1570.7964,161475170.0
4.3999996,1727.8761,119775400.0
4.3999996,1884.9557,91931990.0
4.3999996,2042.0353,105174400.0
4.3999996,2199.115,88153680.0
4.3999996,2356.1946,54018216.0
4.3999996,2513.2742,35763540.0
4.5,157.07964,3754845000.0
4.5,314.15927,2156927500.0
4.5,471.23892,1315768800.0
4.5,628.31854,1371990700.0
4.5,785.3982,1596563800.0
4.5,942.47784,896245760.0
4.5,1099.5575,407928480.0
4.5,1256.6371,277758940.0
4.5,1413.7167,245430480.0
4.5,1570.7964,163101780.0
4.5,1727.8761,119229850.0
4.5,1884.9557,93391350.0
4.5,2042.0353,106359630.0
4.5,2199.115,88924690.0
4.5,2356.1946,54702400.0
4.5,2513.2742,36457340.0
4.6,157.07964,4068102100.0
4.6,314.15927,2279158500.0
4.6,471.23892,1332106500.0
4.6,628.31854,1378873200.0
4.6,785.3982,1612111700.0
4.6,942.47784,919903400.0
4.6,1099.5575,414307420.0
4.6,1256.6371,279643700.0
4.6,1413.7167,247239020.0
4.6,1570.7964,168810350.0
4.6,1727.8761,122271384.0
4.6,1884.9557,95559976.0
4.6,2042.0353,108832720.0
4.6,2199.115,91026330.0
4.6,2356.1946,55399476.0
4.6,2513.2742,37471740.0
4.7,157.07964,4493018000.0
4.7,314.15927,2382173000.0
4.7,471.23892,1364811300.0
4.7,628.31854,1389577600.0
4.7,785.3982,1634088300.0
4.7,942.47784,936108200.0
4.7,1099.5575,419715140.0
4.7,1256.6371,281693900.0
4.7,1413.7167,250231680.0
4.7,1570.7964,174041390.0
4.7,1727.8761,122188200.0
4.7,1884.9557,98190750.0
4.7,2042.0353,110688936.0
4.7,2199.115,93233920.0
4.7,2356.1946,56765056.0
4.7,2513.2742,38203100.0
4.7999997,157.07964,4766204000.0
4.7999997,314.15927,2563726000.0
4.7999997,471.23892,1400666400.0
4.7999997,628.31854,1399663900.0
4.7999997,785.3982,1613231000.0
4.7999997,942.47784,957997400.0
4.7999997,1099.5575,425264800.0
4.7999997,1256.6371,283354460.0
4.7999997,1413.7167,253208200.0
4.7999997,1570.7964,178621340.0
4.7999997,1727.8761,122449860.0
4.7999997,1884.9557,99635670.0
4.7999997,2042.0353,113590070.0
4.7999997,2199.115,94954850.0
4.7999997,2356.1946,57303910.0
4.7999997,2513.2742,39171260.0
4.8999996,157.07964,5221013000.0
4.8999996,314.15927,2719178000.0
4.8999996,471.23892,1426597900.0
4.8999996,628.31854,1409162100.0
4.8999996,785.3982,1603100900.0
4.8999996,942.47784,974602900.0
4.8999996,1099.5575,429845220.0
4.8999996,1256.6371,284460700.0
4.8999996,1413.7167,255538160.0
4.8999996,1570.7964,181616720.0
4.8999996,1727.8761,123057020.0
4.8999996,1884.9557,100332420.0
4.8999996,2042.0353,115364690.0
4.8999996,2199.115,97131090.0
4.8999996,2356.1946,58113820.0
4.8999996,2513.2742,40202784.0
5.0,157.07964,5658929000.0
5.0,314.15927,2927847200.0
5.0,471.23892,1475775700.0
5.0,628.31854,1416792300.0
5.0,785.3982,1599889000.0
5.0,942.47784,986813760.0
5.0,1099.5575,433962080.0
5.0,1256.6371,284987000.0
5.0,1413.7167,255443700.0
5.0,1570.7964,183803760.0
5.0,1727.8761,121871030.0
5.0,1884.9557,102741570.0
5.0,2042.0353,117020776.0
5.0,2199.115,98848660.0
5.0,2356.1946,58624380.0
5.0,2513.2742,40840456.0
